unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,weed,hybrid,yield_kg_ph,country,year,season,crop,intercrop,can_kg_ph,dap_kg_ph,urea_kg_ph,hh_num,basal_method,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,aphids,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,pest_disease,comp_source,npk_kg_ph,intercrop_type,plants_sqm_spacing,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,site_longitude,site_latitude,district_raw,field_gps_flagged_invalid,plant_date_flagged_implausible,growing_season_days,growing_season_days_flagged,hybridseed_2017_methodology_flag,seed_type_clean,seed_type_primary,seed_type_is_mixed,seed_category,yield_kg_ph_flagged_outlier,yield_kg_ph_winsorized,yield_kg_ph_crop_failure,dap_kg_ph_flagged_outlier,dap_kg_ph_winsorized,urea_kg_ph_flagged_outlier,urea_kg_ph_winsorized,npk_kg_ph_flagged_outlier,npk_kg_ph_winsorized,can_kg_ph_flagged_outlier,can_kg_ph_winsorized,lime_kg_ph_flagged_outlier,lime_kg_ph_winsorized,comp_wb_pa_flagged_outlier,comp_wb_pa_winsorized,plot_acres_flagged_outlier,fertility_is_missing,slope_angle_num_is_missing,slope_is_missing,distance_meter_is_missing,pest_disease_is_missing,comp_method_is_missing,comp_quality_is_missing
000280ca,chwele,Ngoli,,0.0,,,,,,,655.26312,0.5,,True,1619.188,Kenya,2016,long_rains,maize,True,123.5525,123.5525,0.0,5.0,apply in hole,0.581794381141663,34.5583724975586,,,h_6213,0.202343001961708,,,False,,,,,,,,,,,,4.0,,,True,False,,,,,0.0,0.0,24.710501,0.0,0.0,,,,,,,,,,,,,,,0.0,beans,,,99.0,,,,,2016-05-09,34.5075672,0.5904838,chwele,False,False,,False,False,h_6213,h_6213,False,hybrid_branded,False,1619.188,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
000a7b5e,gem,got regea,,1.0,,,,,,,372.10529,0.5,,True,919.49078,Kenya,2016,long_rains,maize,True,123.5525,123.5525,0.0,5.0,apply in hole,0.140155702829361,34.4607429504395,,,sc_duma_43,0.202343001961708,,,False,,,,,,,,,,,,4.0,,,True,False,,,,,0.0,0.0,24.710501,0.0,0.0,,,,,,,,,,,,,,,0.0,beans,,,70.0,,,,,2016-04-13,34.46780789,0.135016905,gem,False,False,,False,False,sc_duma_43,sc_duma_43,False,hybrid_branded,False,919.49078,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
000fa7dc,ndalu,surungai,,4.0,,,,,,,1968.421,0.5,,True,4864.0669,Kenya,2016,long_rains,maize,False,123.5525,123.5525,0.0,7.0,apply in hole,1.00745117664337,35.1620788574219,,,h_6218,0.202343001961708,,,False,,,,,,,,,,,,1.0,,,True,False,,,,,0.0,0.0,24.710501,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,77.0,,,,,2016-04-06,,,ndalu,False,False,,False,False,h_6218,h_6218,False,hybrid_branded,False,4864.0669,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
00203dd4,migori,Kamsaki,,0.0,,,,,,,2360.5259,0.25,,True,5832.978,Kenya,2016,long_rains,maize,True,123.5525,123.5525,0.0,8.0,apply in hole,-0.997297883033752,34.4543838500977,,,sc_duma_43,0.101171500980854,,,False,,,,,,,,,,,,5.0,,,False,False,,,,,0.0,0.0,24.710501,0.0,0.0,90.0,,,,,,,,,,,,,,0.0,beans,,,60.0,,,,,2016-03-14,34.48831064,-1.009589089,migori,False,False,,False,False,sc_duma_43,sc_duma_43,False,hybrid_branded,False,5832.978,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
0023f6b6,ndalu,Tabani,,0.0,,,,,,,104.2105,1.0,,True,257.5094,Kenya,2016,long_rains,maize,True,123.5525,123.5525,0.0,5.0,,0.829554915428162,34.935962677002,,,other_hybrid,0.404686003923416,,,False,,,,,,,,,,,,3.0,,,True,False,,,,,0.0,0.0,44.478901,0.0,0.0,,,,,,,,,,,,,,,0.0,beans,,,,,,,,2016-03-29,34.9633244,0.8529922,ndalu,False,False,,False,False,other_hybrid,other_hybrid,False,other_hybrid,False,257.5094,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
0025385a,gem,Mushiangubu,,2.0,,,,,,,1107.895,0.5,,True,2737.6631,Kenya,2016,long_rains,maize,True,123.5525,123.5525,0.0,10.0,apply in hole,0.12302090972662,34.5690727233887,,,pan_691,0.202343001961708,,,False,,,,,,,,,,,,6.0,,,True,True,,,,,0.0,0.0,24.710501,0.0,0.0,40.0,,,,,,,,,,,,,,0.0,beans,,,75.666656,,,,,2016-04-05,34.57725785,0.121571129,gem,False,False,,False,False,pan_691,pan_691,False,hybrid_branded,False,2737.6631,False,False,123.5525,False,0.0,False,0.0,False,123.5525,False,0.0,False,0.0,False,True,True,True,True,True,True,True
0034821f,rongo,Kanyasrega,,3.0,,,,,,,1947.368,1.0,,False,4812.0449,Kenya,2016,long_rains,maize,True,9.8842001,14.8263,0.0,9.0,,-0.755466818809509,34.6026802062988,,,local,0.404686003923416,,,False,,,,,,,,,,,,6.0,,,True,False,,,,,0.0,19.7684,0.0,0.0,0.0,540.0,,,,,,,,,,,,,,0.0,beans,,,,,,,,2016-03-22,34.5646447,-0.839153741,rongo,False,False,,False,False,local,local,False,local,False,4812.0449,False,False,14.8263,False,0.0,False,0.0,False,9.8842001,False,0.0,False,0.0,False,True,True,True,True,True,True,True
007ec853,kabondo,Ngege,,1.0,,,,,,,578.94739,0.25,,False,1430.608,Kenya,2016,long_rains,maize,False,0.0,0.0,0.0,1.0,,-0.346893340349197,34.9921226501465,,,local,0.101171500980854,,,False,,,,,,,,,,,,0.0,,,True,True,,,,,0.0,19.7684,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,0.0,,,,,,,,,2016-04-04,34.96,-0.37,kabondo,False,False,,False,False,local,local,False,local,False,1430.608,False,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,True,True,True,True,True,True,True
007ee648,rongo,Koderobara,,7.0,,,,,,,842.10529,0.75,,True,2080.884,Kenya,2016,long_rains,maize,False,82.368332,82.368332,0.0,7.0,apply in hole,-0.767263948917389,34.6171875,,,dk_8031,0.303514510393143,,,False,,,,,,,,,,,,5.0,,,True,False,,,,,0.0,0.0,31.62944,0.0,0.0,450.0,,,,,,,,,,,,,,0.0,,,,83.666656,,,,,2016-03-30,34.61407294,-0.780100429,rongo,False,False,,False,False,dk_8031,dk_8031,False,hybrid_branded,False,2080.884,False,False,82.368332,False,0.0,False,0.0,False,82.368332,False,0.0,False,0.0,False,True,True,True,True,True,True,True
00a72bd4,butere,Bulanda,,2.0,,,,,,,1447.368,0.75,,True,3576.52,Kenya,2016,long_rains,maize,True,82.368332,82.368332,0.0,5.0,apply in hole,0.3028504550457,34.4797706604004,,,dk_9089,0.303514510393143,,,False,,,,,,,,,,,,1.0,,,False,True,,,,,0.0,0.0,24.710501,0.0,0.0,180.0,,,,,,,,,,,,,,0.0,beans,,,73.666656,,,,,2016-04-05,34.4812712,0.2868623,butere,False,False,,False,False,dk_9089,dk_9089,False,hybrid_branded,False,3576.52,False,False,82.368332,False,0.0,False,0.0,False,82.368332,False,0.0,False,0.0,False,True,True,True,True,True,True,True
